File name, Expose DP comm, Expose DP_EP comm, Expose TP comm, Expose_EP_comm, Expose_PP_comm, bubble time, total comp, total exposed comm, Total time
example-, 40332 (0.53%), 1067010 (14.14%), 326686 (4.33%), 1222811 (16.21%), 0 (0.00%), 345984 (4.59%), 4542795 (60.20%), 2656839 (35.21%), 7545619
layer_name,Analytical_test,fwd compute,wg compute,ig compute,fwd exposed comm,wg exposed comm,ig exposed comm,fwd total comm,algbw,busbw,wg total comm,algbw,busbw,ig total comm,algbw,busbw
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
final_column,Analytical_test,875,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
embedding_layer,Analytical_test,623,875,0,130,0,0,130,360.00,360.00,0,-nan,0.00,0,-nan,0.00
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
final_column,Analytical_test,875,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
embedding_layer,Analytical_test,623,875,0,130,0,0,130,360.00,360.00,0,-nan,0.00,0,-nan,0.00
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
final_column,Analytical_test,875,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
embedding_layer,Analytical_test,623,875,0,130,0,0,130,360.00,360.00,0,-nan,0.00,0,-nan,0.00
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,297,0,297,297,631.11,315.56,0,-nan,0.00,297,631.11,315.56
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
attention_column,Analytical_test,1751,875,875,88,0,0,88,533.34,266.67,0,-nan,0.00,0,-nan,-nan
attention_row,Analytical_test,1751,875,875,88,0,88,88,533.34,266.67,0,-nan,0.00,88,533.34,266.67
mlp_moelayer,Analytical_test,7956,0,7956,4,0,4,4,400.01,200.01,0,-nan,0.00,4,400.01,200.01
mlp_moelayer,Analytical_test,0,0,0,53,0,53,53,438.47,219.23,0,-nan,0.00,53,438.47,219.23
mlp_moelayer,Analytical_test,0,0,0,1592,0,1592,1592,58.88,55.20,0,-nan,0.00,1592,58.88,55.20
